"SE","start","end","cases","Rt","Rt2","p1","lwr","upr"
50,"1998-12-14","1998-12-20",9,0.973684210526316,0.957142857142857,0.45378030880625,0.595818981896932,1.45727952892955
51,"1998-12-21","1998-12-27",14,1,0.982084690553746,0.499999999999998,0.609637514377101,1.49936695499193
52,"1998-12-28","1999-01-03",10,0.891891891891892,0.877850162866449,0.315228245893401,0.535864327459886,1.35446132010193
1,"1999-01-04","1999-01-10",35,1.78787878787879,1.73636363636364,0.996947239462738,1.1227354667447,2.59382751155305
2,"1999-01-11","1999-01-17",10,0.932203389830508,0.922360248447205,0.353441130745977,0.629147606971044,1.30424999560614
3,"1999-01-18","1999-01-24",14,1.07272727272727,1.05875831485588,0.646558869254023,0.72327453753126,1.49828361519435
4,"1999-01-25","1999-01-31",24,0.813559322033898,0.806418219461698,0.142642210932829,0.541233660796876,1.15303954241203
5,"1999-02-01","1999-02-07",26,1.33333333333333,1.31012658227848,0.93576228395712,0.890661408954602,1.86743015990034
6,"1999-02-08","1999-02-14",30,1.25,1.23422562141491,0.909649457079257,0.879691454481803,1.68868330889252
7,"1999-02-15","1999-02-21",49,1.3125,1.29877112135177,0.967483684787417,0.963543448472219,1.71736062090129
8,"1999-02-22","1999-02-28",60,1.32380952380952,1.31316098707403,0.985516252798947,1.01312463340259,1.67754815536893
9,"1999-03-01","1999-03-07",67,1.26618705035971,1.2586821015138,0.981686626827298,1.00278137463713,1.5619220277028
10,"1999-03-08","1999-03-14",90,1.23295454545455,1.22727272727273,0.980879631939319,1.00192658656083,1.48943446288805
11,"1999-03-15","1999-03-21",165,1.48387096774194,1.47767601602748,0.999997197026387,1.24063527406496,1.7489699936347
12,"1999-03-22","1999-03-28",252,1.57453416149068,1.56996521066873,0.999999999946167,1.36292073687321,1.80123371075679
13,"1999-03-29","1999-04-04",930,2.65680473372781,2.65097123186624,1,2.392083540479,2.93332484472567
14,"1999-04-05","1999-04-11",375,1.15590200445434,1.15523315101511,0.999951739979124,1.07331585321995,1.24179996392779
15,"1999-04-12","1999-04-18",378,1.08092485549133,1.08041228844149,0.986591057209808,1.00788188103849,1.15678394999627
16,"1999-04-19","1999-04-25",274,0.610219845513963,0.61012987012987,0,0.56403678657863,0.658719311803725
17,"1999-04-26","1999-05-02",242,0.870496592015579,0.870001215509906,0.00119718828153403,0.794544080645744,0.950503621316079
18,"1999-05-03","1999-05-09",224,0.827740492170022,0.827237191121039,6.84954518879177e-05,0.749486814912998,0.910601050877885
19,"1999-05-10","1999-05-16",149,0.831081081081081,0.830467037599056,0.000337853944828437,0.745078126674519,0.922651355142009
20,"1999-05-17","1999-05-23",160,0.866666666666667,0.865848712228757,0.00771629457699885,0.769651728797794,0.97043569527913
21,"1999-05-24","1999-05-30",79,0.727954971857411,0.727368421052632,8.33668605926263e-07,0.636627291754001,0.826804767841566
22,"1999-05-31","1999-06-06",61,0.77319587628866,0.77223113964687,0.000387436756003945,0.662128729082143,0.894699635981078
23,"1999-06-07","1999-06-13",50,0.633333333333333,0.632725010369141,2.94364810415892e-07,0.524979696851301,0.754690219706968
24,"1999-06-14","1999-06-20",50,0.847368421052632,0.844872632266492,0.0604948239740701,0.680997823646787,1.03531683232547
