"SE","start","end","cases","Rt","p1","lwr","upr"
201231,"2012-07-29","2012-08-04",469,0.902667627974045,0.0042828155428114,0.835253687848585,0.973109446058045
201232,"2012-08-05","2012-08-11",403,0.962460063897764,0.171468129854716,0.888087468231427,1.04023571649312
201233,"2012-08-12","2012-08-18",424,1.07551867219917,0.965631181198705,0.993041538210976,1.16162817067831
201234,"2012-08-19","2012-08-25",341,0.901234567901235,0.00494501650485724,0.831633706289434,0.974074383862639
201235,"2012-08-26","2012-09-01",231,0.852739726027397,0.000107759890204395,0.782479655758891,0.926550139169126
201236,"2012-09-02","2012-09-08",167,0.741967871485944,3.14786641197884e-10,0.673438013854662,0.814545115026511
201237,"2012-09-09","2012-09-15",194,0.801082543978349,2.73395039163127e-05,0.717335722392919,0.890362456560007
201238,"2012-09-16","2012-09-22",181,0.915540540540541,0.068696238616243,0.812564560789851,1.02561666167382
201239,"2012-09-23","2012-09-29",144,0.957564575645756,0.239966139692212,0.84640091939292,1.07655992352633
201240,"2012-09-30","2012-10-06",155,0.92485549132948,0.108493921254235,0.814309543176818,1.04351405904412
201241,"2012-10-07","2012-10-13",138,0.910416666666667,0.077674140298199,0.797010068869457,1.03256100043203
201242,"2012-10-14","2012-10-20",170,1.05949656750572,0.807064192863687,0.926261711010045,1.20267256578957
201243,"2012-10-21","2012-10-27",169,1.03023758099352,0.676107184821266,0.90342056007339,1.16637598865389
201244,"2012-10-28","2012-11-03",155,1.0356394129979,0.707399701642365,0.91011741258749,1.17022223577493
201245,"2012-11-04","2012-11-10",159,0.977732793522267,0.362390993700265,0.859640453798005,1.10445582713859
201246,"2012-11-11","2012-11-17",129,0.917184265010352,0.0942082002211343,0.803479773678444,1.03958681561644
201247,"2012-11-18","2012-11-24",146,0.979683972911964,0.380542796559806,0.855067803454686,1.1139234425371
201248,"2012-11-25","2012-12-01",191,1.07373271889401,0.857075796125493,0.938665881099683,1.21884249567703
201249,"2012-12-02","2012-12-08",185,1.12017167381974,0.962692809465244,0.985264140063618,1.26453813999891
201250,"2012-12-09","2012-12-15",198,1.09961685823755,0.941979516097556,0.973707453332732,1.23393522402353
201251,"2012-12-16","2012-12-22",169,0.961672473867596,0.255948890514493,0.853182246894554,1.07756696474291
201252,"2012-12-23","2012-12-29",167,0.967391304347826,0.292385343385261,0.856340192084766,1.08615109345577
201301,"2012-12-30","2013-01-05",412,1.40074906367041,0.999999998968716,1.24991895250922,1.56037754765326
201302,"2013-01-06","2013-01-12",706,1.71791443850267,1,1.56666252237596,1.87589333310014
201303,"2013-01-13","2013-01-19",727,1.43579766536965,1,1.33548038468443,1.53981111609895
201304,"2013-01-20","2013-01-26",910,1.26991869918699,0.999999999999993,1.19373089911116,1.34858960139108
201305,"2013-01-27","2013-02-02",1087,1.16261203585147,0.999999957311627,1.09938778388591,1.22774482574984
201306,"2013-02-03","2013-02-09",1030,1.11123348017621,0.999967885991909,1.0545450129647,1.16954426846656
201307,"2013-02-10","2013-02-16",1353,1.14634952097787,0.9999999808475,1.09122399667524,1.20294713265485
201308,"2013-02-17","2013-02-23",2501,1.40749279538905,1,1.34694500197365,1.46940287822783
201309,"2013-02-24","2013-03-02",2979,1.39905814905815,1,1.34817187297983,1.4509107550208
201310,"2013-03-03","2013-03-09",3073,1.25171959607786,1,1.21225324009078,1.29185439980408
201311,"2013-03-10","2013-03-16",4107,1.18777037296855,1,1.15387442829485,1.22219262608332
201312,"2013-03-17","2013-03-23",4090,1.10936115759425,0.999999999999984,1.0798350641582,1.13932236909728
201313,"2013-03-24","2013-03-30",3895,1.07293700088731,0.9999999624667,1.04559989054744,1.10066299065625
201314,"2013-03-31","2013-04-06",5116,1.08344359907377,0.999999999897762,1.05684841409234,1.11040213541254
201315,"2013-04-07","2013-04-13",5115,1.07823830241966,0.999999999739628,1.05277450927725,1.10403705577136
201316,"2013-04-14","2013-04-20",4240,1.0244230496956,0.979334259596423,1.00082981976404,1.04832298448749
201317,"2013-04-21","2013-04-27",2989,0.853016377582752,0,0.832676946213774,0.873642907156041
201318,"2013-04-28","2013-05-04",2847,0.816267012313675,0,0.794955496584732,0.837911996848343
201319,"2013-05-05","2013-05-11",1935,0.77123858674077,0,0.748621080353296,0.79425996739687
201320,"2013-05-12","2013-05-18",1274,0.779307682408956,0,0.753391345639295,0.805748732473158
201321,"2013-05-19","2013-05-25",963,0.6889035667107,0,0.662068756467137,0.716396144266092
201322,"2013-05-26","2013-06-01",571,0.673058485139022,0,0.641338739995366,0.705728947503094
201323,"2013-06-02","2013-06-08",468,0.712962962962963,0,0.672811546831913,0.754541294265039
201324,"2013-06-09","2013-06-15",383,0.71028971028971,0,0.663025856046648,0.759552963539722
201325,"2013-06-16","2013-06-22",294,0.805203938115331,2.20687197405312e-08,0.744015528649922,0.869275008716052
201326,"2013-06-23","2013-06-29",235,0.796506550218341,1.34538729046341e-07,0.729050456498373,0.867533482256393
201327,"2013-06-30","2013-07-06",186,0.783991228070175,5.01059715163343e-07,0.709533379445889,0.862915839495046
201328,"2013-07-07","2013-07-13",137,0.78041958041958,5.2311619644918e-06,0.696952739009926,0.869574954486587
201329,"2013-07-14","2013-07-20",124,0.801075268817204,0.000227088217294336,0.70520881053747,0.904262423923101
201330,"2013-07-21","2013-07-27",62,0.722595078299776,3.71738454618686e-06,0.623805074595628,0.830335261929419
201331,"2013-07-28","2013-08-03",79,0.820433436532508,0.00829819577916013,0.693811958136999,0.959725992826248
201332,"2013-08-04","2013-08-10",58,0.750943396226415,0.00106330588743675,0.620839049572048,0.896203785546029
